COD_PERSONA,SEXO,PROCEDENCIA,RESIDENCIA,ESTADO_CIVIL,TIPO_COLEGIO,JALADOS,APROBADOS,BECA_VIGENTE,CANT_RESERVAS,COD_CURSO,COD_GRUPO,COD_PLAN,CREDITOS,EFICIENCIA_SEMESTRES,EXCESO_INASISTENCIA,HRS_INASISTENCIA,Q1_Nota_S,Q3_Nota_S,Q1_Obligatorio_S,Q3_Obligatorio_S,Q1_Electivo_S,Q3_Electivo_S,PONDERADO,PRCTJE_INASISTENCIA_CURSO,AVANCE_CREDITOS,Dropout,AGE
39886,F,local,local,S,private,4,8,0,0,11,12,1,3.9555554,4.0,0,0.0,10.085,11.155833,10.084167,11.4025,13.09,13.09,11.853592,0.0,26,0,17
3001,M,foreign,local,S,private,16,62,0,0,62,78,1,3.4918768,1.7,0,9.67507,11.835735,13.909853,11.668971,13.696912,14.44875,14.87375,12.585004,13.841301,220,0,24
28587,M,local,foreign,S,private,15,42,0,0,41,57,1,3.6320512,2.8,0,2.6897435,11.552115,13.734423,11.441346,13.474808,13.735,13.915,11.524972,3.249054,143,0,21
40395,M,local,local,S,private,0,6,0,6,6,6,1,3.6666667,1.0,0,0.0,17.3875,18.3425,17.3875,18.3425,17.3875,18.3425,17.4827,0.0,22,0,18
32651,M,local,local,S,public,1,51,1,0,52,52,1,3.3439155,1.25,0,3.867725,15.373055,17.12111,15.441667,17.122223,15.29,15.29,15.8827305,5.1036954,172,0,20
1424,M,local,local,S,private,28,64,0,92,64,92,1,3.6568182,2.2,8,14.414394,10.8209095,12.817841,10.781932,12.606478,13.275,13.333571,11.210756,19.40685,226,0,29
42258,M,local,local,C,private,5,7,0,0,11,12,1,3.7222223,4.0,0,0.0,9.645,13.765,9.645,13.765,9.645,13.765,10.956533,0.0,26,0,17
39760,F,local,local,S,private,0,12,0,0,12,12,1,3.5833333,1.0,0,0.0,18.0475,18.84,18.0475,18.52125,19.92,19.92,17.9886,0.0,43,0,18
39699,M,local,local,S,private,0,10,0,10,10,10,1,3.8333333,1.0,0,0.0,15.23375,16.95375,15.23375,16.95375,15.23375,16.95375,15.72594,0.0,38,0,18
18666,M,foreign,foreign,S,private,0,61,0,61,61,61,1,3.2471428,1.0,0,3.1752381,17.2725,18.4715,17.33975,18.41875,17.27375,17.62125,17.9692,4.2799745,197,0,24
525,F,local,local,C,private,0,34,0,34,34,34,1,3.5125,0.8,0,2.0583334,12.94875,14.809375,12.7875,14.4765625,14.963333,14.963333,13.671756,3.939951,122,0,26
37095,F,local,local,S,private,4,20,0,0,19,24,1,3.6559525,1.25,0,0.16666667,13.161875,15.78375,12.675625,15.346875,16.53,16.53,13.528846,0.1633987,70,0,18
33140,M,foreign,foreign,S,private,0,11,0,0,11,11,1,3.3666666,0.75,0,0.0,16.96625,18.325,16.9275,18.445,18.25,18.25,17.44891,0.0,37,0,21
331,M,local,local,S,private,0,35,0,0,35,35,1,3.6336734,0.7,0,1.2948979,14.561786,16.244286,14.568214,16.244286,15.8625,15.8625,15.378629,1.9464285,125,0,27
29097,M,foreign,local,S,private,15,37,0,52,39,52,1,3.5054421,2.5,5,8.258503,11.290893,13.301965,11.150179,13.233929,16.305,16.305,11.130288,11.916289,127,0,22
29233,M,foreign,local,S,private,0,44,1,0,44,44,1,3.338889,1.4285715,0,2.788889,13.764444,16.262222,13.768888,16.176945,14.67,14.67,15.094953,3.328877,148,0,22
1637,M,local,local,S,private,8,61,0,0,61,69,1,3.717347,1.4,3,10.981293,12.307322,13.953571,12.262857,13.782321,14.348,14.348,13.015459,16.986479,218,0,24
631,M,local,local,S,public,17,61,0,78,61,78,1,3.9283447,2.1,3,4.5464854,11.655952,12.927262,11.663095,12.903214,12.67,14.0325,12.3572855,8.160612,218,0,26
6697,M,local,local,S,private,3,66,0,0,66,69,1,3.3428571,1.2,0,8.026984,13.38625,14.949166,13.396459,14.762917,14.9225,15.1675,14.145684,10.490415,222,0,21
1259,M,local,local,S,public,22,61,0,0,61,83,1,3.7714286,2.1,7,12.833787,11.786309,13.921071,11.735238,13.739524,15.5375,15.7725,12.290072,18.290089,218,0,27
2003,M,local,local,S,private,40,62,0,0,62,102,1,3.6226666,2.5,10,14.746,10.4453,13.2497,10.1752,12.6315,13.278,14.309,11.098781,18.282991,222,0,28
37054,M,local,local,S,private,6,19,0,0,19,25,1,3.2349207,2.3333333,0,2.1555555,12.702917,14.086667,12.7475,14.117084,11.76,11.76,12.744348,2.5129411,64,0,18
43167,M,local,local,S,public,0,6,0,0,6,6,1,3.6666667,1.0,0,0.0,12.9175,15.56,12.9175,15.56,12.9175,15.56,14.5068,0.0,22,0,23
22706,M,local,local,S,private,8,69,0,0,67,77,1,3.4956582,1.7,2,1.7434174,13.479706,14.725588,13.457353,14.585147,16.802856,16.802856,13.884892,3.2531195,230,0,24
36678,M,foreign,local,S,private,7,18,0,0,21,25,1,3.4880953,1.6666666,0,3.2916667,9.160625,14.97625,9.02375,14.89,17.325,17.325,11.644492,3.6078432,61,0,19
10482,M,local,local,S,public,26,66,0,552,67,92,1,3.4420996,2.2,2,12.880411,11.277954,12.896818,11.155238,12.689762,13.079687,13.304063,11.494869,17.829994,220,0,28
5974,M,local,local,S,public,19,66,0,0,67,85,1,3.4818451,1.6,3,17.711012,11.543125,13.7951565,11.775782,13.784062,12.925,13.683,12.603083,21.254774,222,0,25
41010,M,foreign,foreign,S,private,2,11,0,0,12,13,1,3.6785715,1.5,0,0.0,12.01125,14.96625,11.8575,14.0925,15.68,15.68,13.555608,0.0,39,0,18
42396,M,foreign,local,S,private,5,9,0,0,11,14,1,4.05,4.0,0,0.0,9.8975,12.49,9.6883335,12.3975,15.46,15.46,11.494093,0.0,30,0,19
32831,M,foreign,local,S,private,6,37,0,43,38,43,1,3.6825397,1.6666666,0,0.45502645,12.964444,14.265555,12.946389,14.244166,14.17,14.17,13.035349,0.82079345,125,0,21
35927,M,local,local,S,public,0,26,2,52,25,26,1,3.3952382,1.2,0,3.4571428,13.181,14.8,13.1305,14.6895,14.61,14.61,13.648934,3.7895927,90,0,22
28739,F,local,local,S,private,4,62,1,0,61,66,1,3.3919413,1.4,1,3.9688644,14.065962,15.858077,14.004039,15.780192,15.724167,16.239166,14.237737,4.0609417,206,0,21
